Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Academy Requests),Custom field (Access Card),Custom field (Access Card Request),Custom field (Actual end),Custom field (Actual start),Custom field (Add Participants),Custom field (Add Participants),Custom field (Add Participants),Custom field (Add Participants)Id,Custom field (Add Participants)Id,Custom field (Add Participants)Id,Custom field (AddressedTo),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Approvers),Custom field (Approvers)Id,Custom field (Backout plan),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Complaint Type),Custom field (Development),Custom field (Document Change Type),Custom field (Document URL),Custom field (EDA Tools),Custom field (Employee Relations Request),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (HRIS),Custom field (Hardware Type),Custom field (ID),Custom field (ID),Custom field (ID Numbers Only),Custom field (IT Priority),Custom field (Impact),Custom field (Implementation plan),Custom field (Include Salary),Custom field (Investigation reason),Custom field (Issue color),Custom field (Language),Custom field (Location),Custom field (Location),Custom field (Locked forms),Custom field (Maintenance Type),Custom field (Major incident),Custom field (Medical Insurance Request),Custom field (Open forms),Custom field (Operational categorization),Custom field (Organization Development Request),Custom field (Organizations),Custom field (Others),Custom field (Others)Id,Custom field (Participants),Custom field (Participants)Id,Custom field (Payroll Calculation),Custom field (Pending reason),Custom field (Performance Management Request),Custom field (Personal Document Type),Custom field (Planned end),Custom field (Planned start),Custom field (Priority Security Queue),Custom field (Product categorization),Custom field (Project),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Referral Program Request),Custom field (Request Type),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Request participants),Custom field (Request participants),Custom field (Responders),Custom field (Root cause),Custom field (Salary Included),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Custom field (Si-Desking Request),Custom field (Source),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Synopsys Request),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test plan),Custom field (Time to close after resolution),Custom field (Time to done),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Time to review normal change),Custom field (Time to triage normal change),Custom field (Total forms),Custom field (Urgency),Custom field (Vacation Type),Custom field (Vacations Request),Custom field (Vulnerability),Custom field (Work category),Custom field (Workaround),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (uuid),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Status Category,Status Category Changed
"Please, I need a Notebook",SVF-6103,49653,[System] Service request,Open,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,yasser.amer,712020:ebea1f33-1ed7-413b-96ef-ae21b3f7358f,yasser.amer,712020:ebea1f33-1ed7-413b-96ef-ae21b3f7358f,17/May/26 1:34 PM,17/May/26 1:34 PM,,,,,0,,,"Please, I need a Notebook",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@11a623f3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02tsn:,,,Notebook,English,,,,,,Yes,,,,,,,,,,,,,,,,,,6:00,32:00,,,,,,,,service-request,,,,,,,,,,,,To Do,17/May/26 1:34 PM
525,SVF-6102,49652,[System] Service request,Open,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,High,,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Yasmine Elnaggar,712020:716fcb10-9a1c-456c-ac1b-c9277709c65e,Yasmine Elnaggar,712020:716fcb10-9a1c-456c-ac1b-c9277709c65e,17/May/26 1:27 PM,17/May/26 1:27 PM,17/May/26 1:33 PM,,,,0,,,"Hello,

The air conditioning at *Building B, Ground Floor, North Wing* is running a bit too cold right now. Would it be possible to raise the temperature setting to 24°C?

Thanks,

Yasmine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@377db5a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02tsf:,,,Thermostat Malfunctions,English,,,,,,Yes,,,,,,,,,,,,,,,,,,3:00,16:00,,,,,,,,service-request,,,,,,,,,,,,To Do,17/May/26 1:27 PM
The Air Conditioning is not working in Kitkat.,SVF-6101,49651,Facility Service Request,Open,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,High,,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Abdelrahman Sawaby,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:bce5b33a-d6bc-4405-88d8-2b7694796412,Abdelrahman Sawaby,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:bce5b33a-d6bc-4405-88d8-2b7694796412,17/May/26 1:26 PM,17/May/26 1:26 PM,,,,,0,,,The Air Conditioning is not working in Kitkat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@152a4e4f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02ts7:,,,AC not cooling properly,English,,,,,,Yes,,,,,,,,,,,,,,,,,,3:00,16:00,,,,,,,,service-request,,,,,,,,,,,,To Do,17/May/26 1:26 PM
364,SVF-6100,49649,Facility Service Request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,Aya Hussein,712020:81232768-8a4e-45cc-9334-1245469ab21f,omar ashraf nabil,712020:bd90b931-0205-477a-9a03-ebc4b4c9a030,omar ashraf nabil,712020:bd90b931-0205-477a-9a03-ebc4b4c9a030,17/May/26 12:59 PM,17/May/26 1:15 PM,,17/May/26 1:15 PM,,,0,,,I forgot my id & need temporary id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2788e23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02trr:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,-0:01,0:45,,,,,,,,service-request,,,1_*:*_1_*:*_965274_*|*_3_*:*_1_*:*_0,,,,,,,,,Done,17/May/26 1:15 PM
Notebook Request,SVF-6099,49648,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Mohamed Kados,712020:ab6f1f9f-efb3-4487-8615-9bf869654242,Mohamed Kados,712020:ab6f1f9f-efb3-4487-8615-9bf869654242,17/May/26 12:28 PM,17/May/26 12:47 PM,,17/May/26 12:47 PM,,,0,,,"B2, DDR Analog Design Team.

Thanks",,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f4bd52b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02trj:,,,Notebook,English,,,,,,Yes,,,,,,,,,,,,,,,,,,6:00,32:00,,,,,,,,service-request,,2026-05-17 09:37:58.982,1_*:*_1_*:*_557544_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_7076,,"17/May/26 12:37 PM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,

Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,17/May/26 12:47 PM
We need to move 50 laptops in front of B2 Building to B2.B.Siwa once they arrive today,SVF-6098,49647,[System] Service request,In Progress,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Low,,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Ahmed Moussa,712020:7d0ee096-13ac-40ea-a215-c595a9fbc48b,Ahmed Moussa,712020:7d0ee096-13ac-40ea-a215-c595a9fbc48b,17/May/26 12:25 PM,17/May/26 12:38 PM,,,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b5d098c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02trb:,,,Other,English,,,,,,Yes,,,,,,,,,,,,,,,,,,8:00,80:00,,,,,,,,service-request,,2026-05-17 09:38:09.762,,,"17/May/26 12:38 PM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,

Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,In Progress,17/May/26 12:38 PM
B2 1st floor printer paper refill,SVF-6097,49644,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Amr Elhosiny,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:8b26b537-e173-4375-817b-2ff27994d910,Amr Elhosiny,qm:f7fca398-50a3-4af2-b97c-d37dbdf1f9ed:8b26b537-e173-4375-817b-2ff27994d910,17/May/26 11:54 AM,17/May/26 12:14 PM,,17/May/26 12:14 PM,,,0,,,Please provide papers for the printer in B2 1st floor,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66e1ccb8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02tqn:,,,Printing Papers,English,,,,,,Yes,,,,,,,,,,,,,,,,,,6:00,32:00,,,,,,,,service-request,,2026-05-17 08:56:06.073,1_*:*_1_*:*_108493_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_8402,,"17/May/26 11:56 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,

Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,17/May/26 12:14 PM
need notebook,SVF-6096,49641,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Nouran Kassem,712020:2a5b452c-cb83-43ba-970c-f2ee0d80eeea,Nouran Kassem,712020:2a5b452c-cb83-43ba-970c-f2ee0d80eeea,17/May/26 11:45 AM,17/May/26 12:14 PM,,17/May/26 12:14 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@507db3d6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02tpz:,,,Notebook,English,,,,,,Yes,,,,,,,,,,,,,,,,,,6:00,32:00,,,,,,,,service-request,,2026-05-17 08:56:17.059,1_*:*_1_*:*_624792_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_7827,,"17/May/26 11:56 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,

Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,17/May/26 12:14 PM
need blue pen,SVF-6095,49640,[System] Service request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Medium,Done,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,Nouran Kassem,712020:2a5b452c-cb83-43ba-970c-f2ee0d80eeea,Nouran Kassem,712020:2a5b452c-cb83-43ba-970c-f2ee0d80eeea,17/May/26 11:45 AM,17/May/26 12:14 PM,,17/May/26 12:14 PM,,,0,,,,,Aya Hussein,,712020:81232768-8a4e-45cc-9334-1245469ab21f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1308e94d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02tpr:,,,Pen,English,,,,,,Yes,,,,,,,,,,,,,,,,,,6:00,32:00,,,,,,,,service-request,,2026-05-17 08:56:30.627,1_*:*_1_*:*_652149_*|*_3_*:*_1_*:*_0_*|*_10001_*:*_1_*:*_9724,,"17/May/26 11:56 AM;712020:81232768-8a4e-45cc-9334-1245469ab21f;Dear ,

Thank you for reaching out to us. We have received your ticket . Our team is reviewing your request and will get back to you with a resolution or update as soon as possible
regards

Facilities team",,,,,,,Done,17/May/26 12:14 PM
Forgot my ID: 1272,SVF-6094,49639,Facility Service Request,Resolved,SVF,Facilities,service_desk,omar.abdelbaset,712020:b231eb7c-3e66-407e-9004-e197c85d54b2,,Critical,Done,Aya Hussein,712020:81232768-8a4e-45cc-9334-1245469ab21f,Mohamed Masoud,712020:e8858404-f9d0-4925-b8e2-70af2d9d0484,Mohamed Masoud,712020:e8858404-f9d0-4925-b8e2-70af2d9d0484,17/May/26 11:43 AM,17/May/26 11:56 AM,,17/May/26 11:56 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2c1a2219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02tpj:,,,I forgot my ID,English,,,,,,Yes,,,,,,,,,,,,,,,,,,0:01,0:45,,,,,,,,service-request,,,1_*:*_1_*:*_775404_*|*_3_*:*_1_*:*_0,,,,,,,,,Done,17/May/26 11:56 AM
